"Coefficient_of_Variation","Mean"
91.5543251505796,0.586590296495957
94.3819067529667,0.590259496051147
111.056436054853,0.609860971764369
129.640841680556,0.666746154763324
122.2017085738,0.73247433937541
143.468358340297,0.78577449947313
145.643547042332,0.856155778894472
157.821466062569,0.834948421381682
192.071495748138,0.907797789602947
189.012111278367,0.924423870383416
195.905159436348,0.95691564324542
218.31174136371,1.00050607287449
202.819855842908,0.997906907206219
229.049328183321,1.08090066753014
233.725076457065,1.09218377088305
