"Coefficient_of_Variation","Mean"
92.2829947328022,2.80288461538462
84.5915573076529,3.0251256281407
82.919624371256,2.99659284497445
69.7261649772386,2.98600508905852
82.9773579493803,3.19086294416244
61.1792846312907,3.2427843803056
60.3100313093535,3.40406976744186
66.5969917196143,3.74712643678161
64.8747245585518,3.79942693409742
59.6828186176639,3.84497354497354
53.298944974158,3.80288461538462
59.6012355207144,4.33127753303965
60.8905666581606,4.45894308943089
60.8432074619506,4.50415094339623
62.6859285092775,4.84049295774648
