   Coefficient_of_Variation Standard_Deviation      Mean
1                  72.93096          0.7709845 1.0571429
2                  79.87409          0.6910455 0.8651685
3                  71.85391          0.5038361 0.7011952
4                 116.10657          0.8374608 0.7212864
5                 104.57660          0.8089386 0.7735369
6                  63.49168          0.4610451 0.7261504
7                 156.70717          1.4027047 0.8951120
8                 109.40149          0.9800115 0.8957935
9                 207.34681          2.0806865 1.0034813
10                293.93375          3.3339932 1.1342669
11                268.57253          3.0639965 1.1408451
12                271.50582          3.0887104 1.1376221
13                148.63860          1.5785748 1.0620221
14                229.79070          2.7147656 1.1814079
15                291.99155          3.5090666 1.2017699
