"Coefficient_of_Variation","Mean"
140.133884554115,2.46382978723404
230.750219903199,1.85544373284538
302.747069867814,1.22636965683323
286.160790493473,1.12652662432829
273.759401512783,1.40501138952164
260.376091641301,1.38601823708207
253.595042127997,2.0849292256453
216.438842622998,2.19291666666667
250.890796917274,2.39478417266187
203.518262911013,2.041928721174
377.853282779772,2.99334178820545
326.310368458087,2.56683250414594
411.415445336805,3.2457507082153
347.812571529366,2.96307348004476
581.165957364581,4.55944055944056
