"Coefficient_of_Variation","Mean"
182.888591640167,1.7258064516129
154.28879321957,1.49303621169916
255.743716229021,2.11290322580645
278.592452235167,2.256
241.342881721567,1.57110352673493
215.089260293586,1.55613850996852
188.41985339955,1.29576271186441
154.775348410612,1.38274509803922
215.578263670605,1.439477303989
192.07295595053,1.38822829964328
146.811508011367,1.41288913162206
228.141731268805,1.60667019587083
238.015654300067,1.54819277108434
232.967145218055,2.00048828125
300.782163709035,2.58545092177379
