"Coefficient_of_Variation","Mean"
212.084081969991,2.28029375764994
245.439711021222,2.21269095182139
337.018175881183,2.37682403433476
421.322650418548,1.60500160307791
246.060747388639,1.50298889837746
404.444600729467,1.70984743411928
214.226016016861,1.57252109704641
342.871008667632,1.94313335228888
317.404720303031,2.23935558112773
337.495495081253,2.75231175693527
255.61413937545,2.45108359133127
434.574764035152,2.52104942037828
564.445876191061,3.01348385073691
311.211334630394,2.25053995680346
512.00648118881,4.96487119437939
