"Coefficient_of_Variation","Mean"
93.2836253067619,2.73205741626794
73.3343342813475,2.49866666666667
143.088138873096,2.92895204262877
191.323412685278,2.85006693440428
74.7992669688367,3.01609195402299
75.4531283642721,3.22900763358779
83.1853118292216,3.46982055464927
76.4977370141294,3.90489913544669
72.1177067706715,4.02335164835165
69.7778732693601,4.11975308641975
66.5334874324008,4.91850989522701
73.7584108119778,5.28038379530917
59.5309348831615,5.68640776699029
66.7265867146912,5.97657657657658
66.214794671197,6.78893617021277
