"Coefficient_of_Variation","Mean"
83.7649505943722,1.34375
204.935804662164,1.47356828193833
244.765695533516,2.21385542168675
298.386572495394,2.05275229357798
256.571744560018,1.69938650306748
177.40890905941,1.40580985915493
181.01360362999,1.37075332348597
346.806009648297,1.82105263157895
221.261760678564,1.7335092348285
237.867561950997,1.57861990950226
260.078135699723,1.72984078068824
283.417040154401,2.16707139388052
375.901750489513,2.61524822695035
195.75532769468,1.81049298959747
245.691000903489,1.83180914512922
