"Coefficient_of_Variation","Mean"
74.6063102600085,2.55882352941176
72.550941017829,3.14411764705882
120.358606126223,3.2839248434238
177.218077488296,3.60100166944908
70.8211586965055,3.34626865671642
77.0396879225804,3.60160427807487
72.3193992792434,4.32134292565947
82.6664199553658,4.73617021276596
89.3246886810078,5.72452830188679
93.2656944514732,6.85254237288136
91.4164964499063,8.47163695299838
84.3258728511644,9.32558139534884
83.7182171713577,11.01875
90.3631627234395,11.5724637681159
89.5777118264564,14.0932432432432
