"Coefficient_of_Variation","Mean"
55.027410806832,0.988235294117647
87.4750495583105,1.11144578313253
86.6684372065719,0.977777777777778
77.1152636098398,0.848765432098765
60.9097329618375,0.868613138686131
83.5954136535829,0.835866261398176
80.4311464517692,0.824194952132289
128.536137028951,0.851289833080425
117.959940081199,0.768506056527591
118.274725364131,0.789378394689197
143.550717042792,0.775330396475771
107.552832210531,0.725937183383992
104.89804259031,0.735653809971778
143.854706803113,0.76078431372549
126.30337876265,0.720768601798855
