"Coefficient_of_Variation","Mean"
180.395795742466,2.18770226537217
181.331253390703,1.60358890701468
339.199198877457,1.99293642785066
307.67037700332,1.83643410852713
287.204472305125,1.55058365758755
233.18685679549,1.52011331444759
221.447353706088,1.64483906770255
203.33295144524,1.63228915662651
265.978932171897,1.88974943052392
247.839633564774,2.096274794388
269.197140371644,1.93975903614458
334.993051123644,2.82895783611774
352.542177928322,2.87354085603113
286.025392163141,2.4780487804878
472.249412302741,3.23783142065691
